trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
1878,ema_21,ema_50,0,36,63,4.79234,35.46135,2.10822,-4.99104,0.98628,0.0007,8.89335,08:00:00,91.24743
1874,ema_21,ema_50,0,35,63,4.81976,35.79084,2.12407,-4.98305,0.98123,0.00013,9.32195,08:00:00,81.57331
1870,ema_21,ema_50,0,34,63,4.77565,35.01523,2.21298,-4.98528,0.96257,9e-05,9.32094,08:00:00,81.359
1532,ema_21,ema_50,0,24,64,4.79458,35.41962,1.53007,-4.46444,0.92264,0.00035,8.71525,08:00:00,80.10867
1556,ema_21,ema_50,0,26,66,4.7902,36.49339,1.43384,-3.88496,0.95054,0.00014,9.66264,08:00:00,78.78828
1263,ema_21,ema_50,0,26,92,4.86082,35.53989,1.39931,-3.91694,0.92314,0.00063,6.20061,08:00:00,78.32715
1719,ema_21,ema_50,0,32,67,4.69917,35.07628,1.91793,-4.99338,0.82398,0.00072,8.94003,08:00:00,78.25708
1367,ema_21,ema_50,0,29,59,4.75932,34.62835,1.63093,-4.7711,0.90933,0.0008,8.18992,08:00:00,76.4228
1454,ema_21,ema_50,0,26,63,4.91391,36.46468,1.43357,-4.29031,0.90667,0.00049,5.73238,08:00:00,75.90917
1751,ema_21,ema_50,0,36,66,4.83297,36.52339,0.89612,-4.80901,0.80776,0.00039,9.94771,08:00:00,75.01076
1725,ema_21,ema_50,0,36,67,4.63015,35.04447,0.58568,-4.97962,0.81086,0.00026,9.55758,08:00:00,74.14212
971,ema_21,ema_50,0,65,100,4.80661,30.9178,6.13852,0.22966,0.85429,0.00061,13.26866,08:00:00,73.68281
1535,ema_21,ema_50,0,24,63,4.86507,36.10731,1.32141,-4.4018,0.97454,0.00019,9.77598,08:00:00,73.66377
1424,ema_21,ema_50,0,28,66,4.70084,37.49611,1.58952,-4.9656,0.88636,0.00071,6.15495,08:00:00,73.4529
1153,ema_21,ema_50,0,29,69,4.65194,35.30839,1.5948,-4.17722,0.85203,0.00036,7.21385,08:00:00,72.82396
1854,ema_21,ema_50,0,37,64,4.84612,36.63586,1.98339,-4.58259,0.86992,0.00044,8.50678,08:00:00,72.2801
1711,ema_21,ema_50,0,26,65,4.7053,35.90974,1.60062,-4.82799,0.8449,0.0007,8.78543,08:00:00,72.09462
1150,ema_21,ema_50,0,29,95,4.6793,34.82446,1.6127,-3.86291,0.85287,0.00057,6.54706,08:00:00,71.79501
1698,ema_21,ema_50,0,27,67,4.75567,36.10752,1.55983,-4.78718,0.8487,0.00028,5.38187,08:00:00,71.53156
954,ema_21,ema_50,0,66,100,4.62964,31.21573,6.46998,0.44161,0.80701,0.0008,15.338,08:00:00,71.41065
1625,ema_21,ema_50,0,40,67,4.82714,35.90651,1.31003,-4.48593,0.88493,0.00017,6.08089,08:00:00,71.35143
1268,ema_21,ema_50,0,26,94,5.04301,36.29302,1.48925,-3.89778,0.91438,0.00081,6.52315,08:00:00,70.54501
241,ema_21,ema_50,0,66,83,4.36061,31.0904,6.26432,-1.59799,0.86997,0.00096,19.49777,08:00:00,70.00287
1116,ema_21,ema_50,0,28,95,4.73089,31.20575,1.5235,-4.67875,0.87026,4e-05,5.42656,08:00:00,69.85116
1779,ema_21,ema_50,0,49,67,4.85339,36.91763,0.6658,-4.72632,0.84703,0.00066,9.20907,08:00:00,69.78735
1834,ema_21,ema_50,0,26,63,4.96715,36.37684,1.68134,-4.83003,0.86969,0.00014,9.69122,08:00:00,68.7548
1429,ema_21,ema_50,0,30,71,4.93097,38.01417,1.72027,-4.61923,0.88958,0.00048,6.66291,08:00:00,68.36664
893,ema_21,ema_50,0,67,99,4.63703,30.97673,1.3717,-0.6339,0.87175,0.00067,5.21198,08:00:00,68.29809
553,ema_21,ema_50,1,67,82,4.65961,31.3146,9.00924,-3.64483,0.81775,0.0012,2.72395,08:00:00,68.28564
1494,ema_21,ema_50,0,26,67,4.88658,38.00544,1.60577,-4.80637,0.87806,0.00043,9.60485,08:00:00,68.20092
1089,ema_21,ema_50,0,7,94,4.77073,30.25899,1.37241,-4.27475,0.83103,1e-05,6.25778,08:00:00,67.81635
1092,ema_21,ema_50,0,32,96,4.92749,30.6686,1.34788,-4.14972,0.81834,1e-05,5.95488,08:00:00,67.50136
1246,ema_21,ema_50,0,26,94,4.80472,34.80592,1.6484,-1.50524,0.91753,0.0002,6.71444,08:00:00,67.15203
1747,ema_21,ema_50,1,39,67,4.82046,36.39783,0.62513,-4.50642,0.83528,0.00053,9.39497,08:00:00,67.05675
1160,ema_21,ema_50,0,29,36,4.665,36.0439,1.57193,-3.89419,0.87076,0.00062,6.40118,08:00:00,67.03683
1281,ema_21,ema_50,0,23,25,5.01937,36.0426,1.55456,-3.74997,0.92017,0.00013,7.13537,08:00:00,66.99992
1336,ema_21,ema_50,0,27,96,5.04986,35.51903,1.3954,-3.95554,0.88161,0.00064,5.60269,08:00:00,66.36192
1192,ema_21,ema_50,0,29,49,4.79174,36.88181,1.59946,-4.77088,0.86841,0.00044,7.317,08:00:00,66.35057
1143,ema_21,ema_50,0,30,94,4.65946,32.99737,1.8023,-3.82574,0.85821,0.00027,5.73023,08:00:00,66.24006
756,ema_21,ema_50,0,69,98,4.81783,30.81767,4.88567,0.14314,0.88232,0.00047,19.5749,08:00:00,66.21522
1362,ema_21,ema_50,0,29,59,4.77006,33.52394,1.58758,-4.5384,0.85741,0.00049,7.9655,08:00:00,66.12866
1080,ema_21,ema_50,0,70,100,4.80804,30.8264,1.54532,-0.64152,0.87669,8e-05,5.78669,08:00:00,65.76637
654,ema_21,ema_50,0,67,99,4.76032,32.9206,5.56561,-2.80232,0.86322,0.00033,19.98166,08:00:00,65.70225
1756,ema_21,ema_50,0,37,66,4.73707,37.49119,0.53768,-4.79741,0.84193,0.0005,10.2269,08:00:00,65.55809
875,ema_21,ema_50,0,66,99,4.64133,30.31637,4.54913,-0.40929,0.82635,0.00047,4.9486,08:00:00,65.05484
1581,ema_21,ema_50,0,26,68,5.00468,35.36419,1.25534,-4.08049,0.92255,0.00016,10.02784,08:00:00,65.00194
1768,ema_21,ema_50,0,37,65,4.51955,39.47171,0.61288,-4.99245,0.80885,0.00076,10.13894,08:00:00,64.9709
504,ema_21,ema_50,0,67,82,4.3443,30.95798,7.69454,-1.90582,0.84651,0.00064,2.37905,08:00:00,64.95901
713,ema_21,ema_50,0,70,94,4.80583,30.62647,6.18149,-2.78179,0.89255,0.00053,1.1364,08:00:00,64.93495
1300,ema_21,ema_50,0,26,95,4.89005,34.85942,1.51903,-3.50107,0.81979,0.00023,6.74253,08:00:00,64.84988
317,ema_21,ema_50,0,66,83,4.61202,31.01551,6.66436,-1.69974,0.88874,0.00016,5.53176,08:00:00,64.73613
1680,ema_21,ema_50,0,30,75,4.47836,35.56704,1.45101,-4.99274,0.86685,0.00015,6.80679,08:00:00,64.44117
1047,ema_21,ema_50,0,26,96,4.51517,31.12757,7.94001,-1.12548,0.8054,0.00026,5.88893,08:00:00,64.25539
1721,ema_21,ema_50,0,32,68,4.71184,33.79789,1.03323,-4.91267,0.77977,0.0006,9.18141,08:00:00,64.00715
1271,ema_21,ema_50,0,25,93,4.88597,36.7761,1.50293,-3.83755,0.9224,0.00021,6.58811,08:00:00,63.98264
783,ema_21,ema_50,0,66,100,4.65911,30.47427,4.88548,-0.08346,0.7238,0.0003,18.54767,08:00:00,63.9317
1408,ema_21,ema_50,0,27,74,4.78949,34.8571,1.45137,-4.15135,0.88318,0.00011,5.48368,08:00:00,63.9304
1605,ema_21,ema_50,0,43,51,5.02667,35.48494,1.27897,-4.7748,0.93037,0.00017,15.94412,08:00:00,63.85944
1728,ema_21,ema_50,0,33,69,4.48303,35.06593,0.82744,-4.97033,0.78051,0.00017,9.30517,08:00:00,63.80728
898,ema_21,ema_50,0,65,98,4.65745,34.43878,1.20935,-0.46666,0.89567,0.00057,4.95653,08:00:00,63.72971
536,ema_21,ema_50,0,65,81,4.67969,30.61137,6.84998,-2.98113,0.88277,0.00042,18.96921,08:00:00,63.39716
306,ema_21,ema_50,0,68,82,4.29237,31.71691,8.14433,-1.74899,0.95207,0.00022,19.22376,08:00:00,63.3781
1855,ema_21,ema_50,0,35,64,5.02293,36.66332,2.25924,-4.62657,0.87795,0.00039,8.28189,08:00:00,63.35478
1785,ema_21,ema_50,0,57,66,4.67673,37.98485,0.58084,-4.56133,0.84275,0.00065,10.08844,08:00:00,63.35255
1382,ema_9,ema_21,0,29,56,5.01607,34.82684,1.3769,-4.35081,0.84476,0.00038,7.5396,08:00:00,63.34828
392,ema_21,ema_50,0,69,81,4.83956,33.00353,6.53673,-3.19482,0.7416,0.00126,1.71175,08:00:00,63.21226
1824,ema_21,ema_50,0,28,72,4.94703,36.3579,0.55674,-4.46896,0.86217,4e-05,9.96667,08:00:00,63.09054
1491,ema_21,ema_50,0,21,58,4.98156,36.02592,1.45622,-4.3489,0.91559,3e-05,8.07975,08:00:00,63.01421
1134,ema_21,ema_50,0,28,96,4.61929,33.30799,1.66447,-3.5809,0.83217,0.00015,5.23864,08:00:00,62.85293
847,ema_21,ema_50,0,66,99,4.7034,31.69055,4.79129,0.40841,0.8101,0.00117,4.89028,08:00:00,62.80971
1594,ema_21,ema_50,0,28,66,4.98918,37.28451,1.56728,-3.58737,0.91597,6e-05,10.89111,08:00:00,62.7887
720,ema_21,ema_50,0,21,93,4.86065,31.69204,8.26799,0.40693,0.885,0.00026,1.93033,08:00:00,62.75057
1749,ema_21,ema_50,0,32,63,4.65632,37.66542,0.46088,-4.81508,0.78343,0.00025,8.30858,08:00:00,62.72184
552,ema_21,ema_50,0,67,82,4.58486,31.14907,8.64151,-3.46868,0.8205,0.0003,2.6173,08:00:00,62.43886
1701,ema_21,ema_50,1,28,68,4.69762,37.61915,1.60058,-4.99804,0.83125,0.00065,11.57421,08:00:00,62.38291
1450,ema_21,ema_50,0,33,38,4.81579,38.4569,1.47456,-4.33484,0.88447,0.00038,7.36837,08:00:00,62.36431
779,ema_21,ema_50,0,67,100,4.69722,30.52198,5.73638,0.03096,0.75998,0.00039,18.69868,08:00:00,62.17246
1612,ema_21,ema_50,0,23,61,4.53961,38.7871,1.32042,-4.61173,0.96712,0.0005,6.83937,08:00:00,62.11111
1379,ema_21,ema_50,0,35,66,4.9019,33.44873,1.44928,-4.76621,0.85395,0.00036,7.83048,08:00:00,61.84968
1309,ema_21,ema_50,0,26,28,4.94417,37.09854,0.58181,-3.94342,0.81706,0.00036,7.15738,08:00:00,61.84425
929,ema_21,ema_50,0,64,93,4.61454,31.4749,1.41184,0.03847,0.85291,0.0006,4.83276,08:00:00,61.73202
816,ema_21,ema_50,0,69,100,4.72201,31.31526,5.54555,1.22424,0.67747,0.00066,3.46374,08:00:00,61.68651
1090,ema_21,ema_50,0,65,94,5.13894,31.59083,1.76279,-4.70552,0.82319,0.0008,6.35998,08:00:00,61.55455
791,ema_21,ema_50,0,14,90,4.6286,29.69562,4.91014,-0.05897,0.71099,0.0003,18.9539,08:00:00,61.29964
1317,ema_21,ema_50,0,31,39,4.95479,36.05244,1.71003,-3.53723,0.8376,0.00024,6.87603,08:00:00,61.28231
644,ema_21,ema_50,0,70,97,4.6182,32.99865,8.00438,-2.45218,0.6982,0.0002,19.23076,08:00:00,61.2576
372,ema_21,ema_50,0,64,79,4.13405,31.26313,6.20862,-2.74769,0.96854,0.00161,2.71498,13:30:00,61.15111
1799,ema_21,ema_50,0,48,66,4.72498,35.68284,0.65563,-4.64971,0.77997,0.0001,9.30122,08:00:00,61.08555
1770,ema_21,ema_50,1,39,66,4.63263,35.49462,0.77753,-4.53471,0.84701,0.00026,9.35317,08:00:00,60.85145
243,ema_21,ema_50,0,66,83,4.45497,30.71226,7.40844,-1.51147,0.84719,0.00089,19.49549,08:00:00,60.83598
351,ema_21,ema_50,0,68,83,4.54433,30.38784,5.92687,-2.99973,0.45745,0.00124,19.50131,08:00:00,60.80351
1438,ema_21,ema_50,0,33,71,4.91109,38.83631,1.84155,-4.92474,0.88985,0.00023,6.29338,08:00:00,60.79098
1296,ema_21,ema_50,0,28,32,5.04018,34.85277,1.70093,-3.75026,0.87019,0.00045,7.19141,08:00:00,60.7221
1540,ema_21,ema_50,0,19,24,5.0704,35.66839,1.34607,-4.57083,0.99797,0.0172,16.27136,08:00:00,60.6651
344,ema_21,ema_50,0,70,84,4.41997,31.42867,9.06334,-3.04999,0.8466,0.00083,19.93688,08:00:00,60.57798
856,ema_21,ema_50,1,66,100,4.73964,33.52152,1.34405,-0.63884,0.76436,0.00117,5.46666,08:00:00,60.55631
1632,ema_21,ema_50,0,9,72,5.00821,36.02774,1.10954,-4.28832,0.91194,1e-05,5.88372,08:00:00,60.51018
1254,ema_21,ema_50,0,27,95,4.99307,36.14525,1.865,-4.36206,0.8778,3e-05,7.2321,08:00:00,60.46244
451,ema_21,ema_50,0,67,83,4.46914,31.17981,7.23248,-3.35191,0.68571,0.00054,19.98809,08:00:00,60.45731
473,ema_21,ema_50,0,67,84,4.29049,30.76989,5.63323,-1.7604,0.65961,5e-05,18.85108,08:00:00,60.37971
1030,ema_21,ema_50,0,31,96,4.48622,31.16363,6.49132,-3.75879,0.80472,0.00022,8.30597,08:00:00,60.25231
385,ema_21,ema_50,0,68,82,4.49574,30.72393,7.70254,-2.87213,0.7125,0.00073,1.45649,08:00:00,60.24693
1389,ema_21,ema_50,0,56,58,4.70219,36.06913,1.19013,-4.76973,0.86358,0.00058,9.33506,08:00:00,60.20153
760,ema_21,ema_50,0,69,97,4.79549,30.30059,4.92409,0.17526,0.88609,0.00034,19.31626,08:00:00,60.18967
1355,ema_21,ema_50,0,32,94,4.98087,37.18703,1.34533,-3.42564,0.86341,0.00034,6.44857,08:00:00,60.07971
1463,ema_21,ema_50,0,27,66,5.03343,36.23806,1.57887,-4.52411,0.97562,0.00013,6.43934,08:00:00,59.98222
981,ema_21,ema_50,0,47,95,4.911,31.79047,5.23416,0.43467,0.86758,0.00059,13.77715,08:00:00,59.6967
674,ema_21,ema_50,0,20,94,4.80343,32.40461,5.40741,-3.39195,0.87546,0.00021,19.59508,08:00:00,59.69181
1171,ema_9,ema_21,0,31,62,4.80594,36.41067,1.37765,-3.74384,0.85528,6e-05,5.97311,08:00:00,59.49928
1165,ema_21,ema_50,0,27,31,4.63838,37.9117,1.64195,-3.92024,0.88402,0.00024,6.61729,08:00:00,59.39434
279,ema_21,ema_50,0,65,81,4.33366,31.86927,7.75508,-2.10401,0.43174,0.00091,18.46849,08:00:00,59.16046
1543,ema_21,ema_50,1,23,64,4.64093,35.42722,1.33903,-4.08322,0.98016,0.00044,6.20642,13:30:00,59.13037
1505,ema_21,ema_50,0,29,67,4.64579,36.90336,1.59867,-4.79375,0.87983,0.00011,10.71349,08:00:00,59.11829
274,ema_21,ema_50,0,66,81,4.27658,29.38692,8.67592,-2.24026,0.42175,0.00084,18.30472,08:00:00,59.02229
