,Hunger,Potter,Twilight,Mockingbird,Gatsby
143,FALSE,FALSE,FALSE,TRUE,TRUE
144,FALSE,FALSE,FALSE,TRUE,TRUE
145,FALSE,FALSE,FALSE,FALSE,TRUE
146,FALSE,TRUE,FALSE,TRUE,TRUE
147,FALSE,FALSE,FALSE,FALSE,TRUE
148,FALSE,FALSE,FALSE,TRUE,FALSE
149,FALSE,TRUE,FALSE,TRUE,FALSE
150,FALSE,FALSE,FALSE,TRUE,TRUE
151,FALSE,TRUE,FALSE,FALSE,FALSE
152,FALSE,FALSE,FALSE,TRUE,TRUE
153,FALSE,TRUE,FALSE,TRUE,TRUE
154,FALSE,FALSE,FALSE,TRUE,TRUE
155,FALSE,TRUE,FALSE,FALSE,FALSE
156,FALSE,TRUE,FALSE,FALSE,FALSE
157,FALSE,TRUE,FALSE,TRUE,TRUE
158,FALSE,FALSE,FALSE,TRUE,FALSE
159,FALSE,TRUE,FALSE,FALSE,FALSE
160,FALSE,FALSE,FALSE,FALSE,TRUE
161,FALSE,TRUE,FALSE,TRUE,FALSE
162,FALSE,TRUE,FALSE,TRUE,TRUE
163,FALSE,TRUE,FALSE,TRUE,TRUE
164,FALSE,TRUE,FALSE,FALSE,FALSE
165,FALSE,FALSE,FALSE,TRUE,TRUE
166,FALSE,FALSE,FALSE,TRUE,TRUE
167,FALSE,FALSE,FALSE,TRUE,TRUE
168,TRUE,FALSE,FALSE,FALSE,TRUE
169,TRUE,FALSE,FALSE,TRUE,FALSE
170,TRUE,TRUE,TRUE,TRUE,TRUE
171,FALSE,TRUE,FALSE,TRUE,TRUE
172,FALSE,TRUE,FALSE,TRUE,TRUE
173,FALSE,FALSE,FALSE,TRUE,FALSE
174,FALSE,FALSE,FALSE,TRUE,FALSE
175,FALSE,FALSE,FALSE,FALSE,TRUE
176,FALSE,TRUE,FALSE,TRUE,FALSE
177,FALSE,TRUE,FALSE,TRUE,FALSE
178,FALSE,TRUE,FALSE,TRUE,TRUE
179,FALSE,FALSE,FALSE,FALSE,TRUE
180,FALSE,FALSE,FALSE,TRUE,TRUE
181,TRUE,TRUE,TRUE,TRUE,TRUE
182,FALSE,TRUE,FALSE,TRUE,TRUE
183,FALSE,FALSE,FALSE,TRUE,TRUE
184,FALSE,FALSE,FALSE,FALSE,TRUE
185,FALSE,FALSE,FALSE,TRUE,TRUE
186,FALSE,FALSE,FALSE,TRUE,TRUE
187,FALSE,FALSE,FALSE,TRUE,FALSE
188,FALSE,FALSE,FALSE,TRUE,TRUE
189,FALSE,FALSE,FALSE,TRUE,TRUE
190,FALSE,TRUE,TRUE,TRUE,TRUE
191,FALSE,TRUE,FALSE,TRUE,TRUE
192,FALSE,FALSE,FALSE,FALSE,TRUE
193,FALSE,TRUE,FALSE,FALSE,FALSE
194,FALSE,FALSE,FALSE,TRUE,FALSE
195,FALSE,TRUE,FALSE,TRUE,FALSE
196,FALSE,FALSE,FALSE,FALSE,TRUE
197,FALSE,FALSE,FALSE,TRUE,TRUE
198,FALSE,TRUE,FALSE,TRUE,FALSE
199,FALSE,TRUE,FALSE,TRUE,FALSE
200,TRUE,TRUE,TRUE,TRUE,TRUE
201,FALSE,TRUE,FALSE,TRUE,FALSE
202,TRUE,TRUE,FALSE,TRUE,TRUE
203,TRUE,FALSE,FALSE,TRUE,TRUE
204,FALSE,FALSE,TRUE,TRUE,FALSE
205,FALSE,TRUE,FALSE,TRUE,FALSE
206,FALSE,TRUE,FALSE,FALSE,TRUE
207,FALSE,FALSE,FALSE,TRUE,TRUE
208,FALSE,TRUE,FALSE,FALSE,TRUE
209,FALSE,FALSE,FALSE,TRUE,FALSE
210,TRUE,TRUE,FALSE,TRUE,TRUE
211,FALSE,TRUE,FALSE,FALSE,FALSE
212,FALSE,TRUE,TRUE,TRUE,TRUE
213,FALSE,FALSE,FALSE,FALSE,TRUE
214,FALSE,TRUE,FALSE,FALSE,FALSE
215,FALSE,FALSE,FALSE,FALSE,TRUE
216,FALSE,FALSE,FALSE,TRUE,TRUE
217,FALSE,TRUE,FALSE,TRUE,FALSE
218,FALSE,FALSE,TRUE,TRUE,FALSE
219,TRUE,TRUE,TRUE,TRUE,TRUE
220,FALSE,FALSE,FALSE,TRUE,TRUE
221,TRUE,FALSE,TRUE,TRUE,TRUE
222,FALSE,TRUE,FALSE,FALSE,TRUE
223,FALSE,FALSE,FALSE,TRUE,TRUE
224,FALSE,FALSE,FALSE,TRUE,FALSE
225,TRUE,TRUE,FALSE,TRUE,TRUE
226,FALSE,FALSE,FALSE,TRUE,TRUE
227,TRUE,TRUE,FALSE,TRUE,TRUE
228,TRUE,FALSE,FALSE,TRUE,FALSE
229,FALSE,FALSE,FALSE,TRUE,FALSE
230,FALSE,TRUE,FALSE,FALSE,TRUE
231,FALSE,TRUE,FALSE,TRUE,FALSE
232,FALSE,FALSE,FALSE,TRUE,FALSE
233,FALSE,TRUE,FALSE,TRUE,TRUE
234,FALSE,TRUE,FALSE,TRUE,FALSE
235,TRUE,TRUE,FALSE,TRUE,FALSE
236,FALSE,TRUE,FALSE,TRUE,TRUE
237,FALSE,TRUE,FALSE,TRUE,FALSE
238,FALSE,TRUE,FALSE,FALSE,FALSE
239,FALSE,FALSE,FALSE,TRUE,TRUE
240,FALSE,TRUE,FALSE,FALSE,FALSE
241,TRUE,TRUE,FALSE,TRUE,TRUE
242,FALSE,TRUE,FALSE,FALSE,FALSE
243,FALSE,TRUE,FALSE,TRUE,TRUE
244,FALSE,TRUE,FALSE,TRUE,FALSE
245,FALSE,TRUE,FALSE,TRUE,TRUE
246,FALSE,TRUE,FALSE,TRUE,FALSE
247,FALSE,FALSE,FALSE,FALSE,TRUE
248,FALSE,FALSE,FALSE,TRUE,FALSE
249,FALSE,TRUE,TRUE,FALSE,FALSE
250,FALSE,FALSE,TRUE,TRUE,FALSE
251,FALSE,TRUE,FALSE,TRUE,TRUE
252,FALSE,FALSE,FALSE,TRUE,FALSE
253,FALSE,TRUE,FALSE,FALSE,TRUE
254,TRUE,FALSE,FALSE,TRUE,FALSE
255,TRUE,TRUE,FALSE,TRUE,TRUE
256,FALSE,TRUE,FALSE,TRUE,TRUE
257,FALSE,FALSE,TRUE,TRUE,TRUE
258,FALSE,TRUE,TRUE,FALSE,TRUE
259,FALSE,TRUE,TRUE,TRUE,TRUE
260,FALSE,TRUE,FALSE,FALSE,FALSE
261,TRUE,TRUE,FALSE,TRUE,TRUE
262,FALSE,FALSE,FALSE,TRUE,TRUE
263,FALSE,TRUE,FALSE,TRUE,TRUE
264,FALSE,TRUE,TRUE,TRUE,TRUE
265,FALSE,FALSE,TRUE,FALSE,FALSE
266,FALSE,FALSE,FALSE,FALSE,TRUE
267,FALSE,FALSE,FALSE,TRUE,TRUE
268,FALSE,FALSE,FALSE,FALSE,TRUE
269,FALSE,FALSE,TRUE,TRUE,FALSE
270,FALSE,TRUE,FALSE,TRUE,FALSE
271,FALSE,FALSE,FALSE,TRUE,FALSE
272,FALSE,FALSE,FALSE,TRUE,FALSE
273,FALSE,FALSE,FALSE,TRUE,FALSE
274,FALSE,TRUE,FALSE,TRUE,TRUE
275,FALSE,FALSE,FALSE,FALSE,TRUE
276,TRUE,FALSE,FALSE,FALSE,TRUE
277,FALSE,FALSE,FALSE,FALSE,TRUE
278,FALSE,TRUE,TRUE,FALSE,FALSE
279,FALSE,FALSE,FALSE,TRUE,TRUE
280,FALSE,FALSE,FALSE,FALSE,TRUE
281,FALSE,TRUE,FALSE,FALSE,FALSE
282,FALSE,TRUE,FALSE,FALSE,FALSE
283,FALSE,TRUE,FALSE,FALSE,FALSE
284,FALSE,TRUE,FALSE,FALSE,FALSE
285,TRUE,FALSE,TRUE,TRUE,TRUE
286,FALSE,FALSE,FALSE,TRUE,TRUE
287,FALSE,FALSE,TRUE,FALSE,FALSE
288,FALSE,TRUE,FALSE,FALSE,FALSE
289,FALSE,TRUE,FALSE,TRUE,FALSE
290,FALSE,TRUE,FALSE,TRUE,TRUE
291,FALSE,FALSE,TRUE,FALSE,TRUE
292,FALSE,TRUE,FALSE,FALSE,FALSE
293,FALSE,TRUE,TRUE,TRUE,TRUE
294,FALSE,TRUE,TRUE,TRUE,TRUE
295,FALSE,TRUE,TRUE,FALSE,FALSE
296,FALSE,TRUE,FALSE,FALSE,FALSE
297,FALSE,FALSE,FALSE,TRUE,TRUE
298,FALSE,FALSE,FALSE,TRUE,TRUE
299,FALSE,TRUE,FALSE,TRUE,TRUE
300,FALSE,FALSE,FALSE,TRUE,TRUE
301,FALSE,FALSE,TRUE,TRUE,TRUE
302,FALSE,FALSE,TRUE,TRUE,FALSE
303,FALSE,FALSE,FALSE,TRUE,TRUE
304,FALSE,TRUE,FALSE,FALSE,TRUE
305,FALSE,TRUE,FALSE,FALSE,TRUE
306,FALSE,FALSE,FALSE,TRUE,FALSE
307,FALSE,TRUE,FALSE,TRUE,TRUE
308,FALSE,TRUE,FALSE,FALSE,FALSE
309,FALSE,FALSE,FALSE,TRUE,FALSE
310,FALSE,FALSE,FALSE,TRUE,TRUE
311,TRUE,TRUE,TRUE,TRUE,TRUE
312,FALSE,TRUE,FALSE,TRUE,TRUE
313,FALSE,TRUE,TRUE,FALSE,FALSE
314,FALSE,FALSE,FALSE,FALSE,TRUE
315,FALSE,FALSE,FALSE,TRUE,TRUE
316,FALSE,TRUE,TRUE,FALSE,TRUE
317,FALSE,TRUE,FALSE,TRUE,TRUE
318,FALSE,FALSE,FALSE,TRUE,TRUE
319,FALSE,TRUE,FALSE,FALSE,FALSE
320,FALSE,FALSE,FALSE,FALSE,TRUE
321,FALSE,TRUE,TRUE,FALSE,TRUE
322,FALSE,FALSE,FALSE,TRUE,TRUE
323,FALSE,FALSE,FALSE,TRUE,TRUE
324,FALSE,TRUE,FALSE,TRUE,TRUE
325,FALSE,TRUE,FALSE,TRUE,FALSE
326,TRUE,TRUE,FALSE,TRUE,TRUE
327,FALSE,TRUE,FALSE,TRUE,TRUE
328,FALSE,TRUE,TRUE,FALSE,FALSE
329,FALSE,TRUE,FALSE,TRUE,TRUE
330,FALSE,TRUE,FALSE,TRUE,FALSE
331,FALSE,FALSE,TRUE,FALSE,TRUE
332,FALSE,TRUE,FALSE,FALSE,FALSE
333,FALSE,TRUE,FALSE,FALSE,FALSE
334,FALSE,FALSE,FALSE,TRUE,FALSE
335,FALSE,TRUE,FALSE,TRUE,FALSE
336,TRUE,FALSE,TRUE,FALSE,TRUE
337,TRUE,TRUE,FALSE,TRUE,FALSE
338,FALSE,TRUE,FALSE,FALSE,TRUE
339,FALSE,TRUE,TRUE,TRUE,TRUE
340,FALSE,TRUE,FALSE,TRUE,FALSE
341,FALSE,FALSE,FALSE,FALSE,TRUE
342,FALSE,FALSE,FALSE,TRUE,TRUE
343,FALSE,TRUE,FALSE,FALSE,FALSE
344,FALSE,TRUE,FALSE,FALSE,FALSE
345,FALSE,TRUE,FALSE,TRUE,TRUE
346,FALSE,FALSE,FALSE,TRUE,TRUE
347,FALSE,FALSE,FALSE,TRUE,TRUE
348,FALSE,TRUE,TRUE,TRUE,TRUE
349,FALSE,TRUE,FALSE,FALSE,FALSE
350,FALSE,TRUE,FALSE,TRUE,TRUE
351,FALSE,TRUE,FALSE,FALSE,FALSE
352,FALSE,FALSE,FALSE,TRUE,FALSE
353,FALSE,FALSE,FALSE,TRUE,TRUE
354,FALSE,FALSE,FALSE,FALSE,TRUE
355,FALSE,FALSE,TRUE,FALSE,FALSE
356,FALSE,TRUE,TRUE,TRUE,FALSE
357,FALSE,FALSE,FALSE,TRUE,TRUE
358,FALSE,FALSE,FALSE,TRUE,TRUE
359,FALSE,FALSE,FALSE,FALSE,TRUE
360,FALSE,FALSE,FALSE,TRUE,FALSE
361,TRUE,TRUE,TRUE,FALSE,FALSE
362,FALSE,FALSE,FALSE,TRUE,TRUE
363,TRUE,FALSE,TRUE,TRUE,TRUE
364,FALSE,FALSE,TRUE,TRUE,TRUE
365,FALSE,FALSE,FALSE,FALSE,TRUE
366,FALSE,FALSE,FALSE,FALSE,TRUE
367,FALSE,TRUE,FALSE,TRUE,TRUE
368,FALSE,FALSE,FALSE,TRUE,TRUE
369,FALSE,TRUE,FALSE,TRUE,TRUE
370,TRUE,TRUE,FALSE,TRUE,TRUE
371,FALSE,TRUE,FALSE,FALSE,FALSE
372,FALSE,FALSE,FALSE,FALSE,TRUE
373,TRUE,TRUE,FALSE,TRUE,TRUE
374,FALSE,FALSE,FALSE,FALSE,TRUE
375,FALSE,TRUE,TRUE,TRUE,TRUE
376,FALSE,FALSE,TRUE,FALSE,TRUE
377,FALSE,TRUE,FALSE,TRUE,TRUE
378,FALSE,FALSE,FALSE,TRUE,FALSE
379,FALSE,TRUE,FALSE,FALSE,FALSE
380,TRUE,TRUE,FALSE,TRUE,FALSE
381,FALSE,FALSE,FALSE,TRUE,FALSE
382,FALSE,TRUE,FALSE,TRUE,FALSE
383,FALSE,TRUE,FALSE,FALSE,FALSE
384,FALSE,FALSE,FALSE,TRUE,FALSE
385,FALSE,TRUE,TRUE,TRUE,TRUE
386,FALSE,TRUE,FALSE,TRUE,FALSE
387,FALSE,TRUE,TRUE,TRUE,TRUE
388,FALSE,TRUE,FALSE,TRUE,TRUE
389,FALSE,FALSE,FALSE,FALSE,TRUE
390,FALSE,FALSE,FALSE,TRUE,FALSE
391,FALSE,FALSE,FALSE,FALSE,TRUE
392,FALSE,TRUE,FALSE,FALSE,FALSE
393,TRUE,TRUE,TRUE,TRUE,TRUE
394,FALSE,TRUE,FALSE,TRUE,FALSE
395,FALSE,FALSE,FALSE,TRUE,TRUE
396,FALSE,FALSE,FALSE,TRUE,FALSE
397,FALSE,TRUE,FALSE,TRUE,TRUE
398,FALSE,TRUE,FALSE,FALSE,FALSE
399,FALSE,FALSE,FALSE,TRUE,TRUE
400,FALSE,TRUE,FALSE,FALSE,FALSE
401,FALSE,FALSE,FALSE,FALSE,TRUE
402,FALSE,TRUE,FALSE,FALSE,TRUE
403,FALSE,TRUE,FALSE,FALSE,FALSE
404,FALSE,TRUE,FALSE,TRUE,TRUE
405,FALSE,TRUE,TRUE,FALSE,FALSE
406,FALSE,FALSE,FALSE,TRUE,TRUE
407,FALSE,FALSE,FALSE,TRUE,TRUE
408,FALSE,TRUE,FALSE,TRUE,FALSE
409,FALSE,TRUE,FALSE,TRUE,TRUE
410,FALSE,FALSE,FALSE,FALSE,TRUE
411,FALSE,TRUE,FALSE,FALSE,FALSE
412,FALSE,FALSE,FALSE,TRUE,TRUE
413,FALSE,TRUE,FALSE,FALSE,FALSE
414,FALSE,TRUE,FALSE,FALSE,TRUE
415,FALSE,TRUE,FALSE,TRUE,FALSE
416,FALSE,TRUE,FALSE,TRUE,TRUE
417,FALSE,FALSE,FALSE,TRUE,TRUE
418,FALSE,FALSE,TRUE,TRUE,FALSE
419,FALSE,TRUE,FALSE,FALSE,TRUE
420,FALSE,TRUE,FALSE,TRUE,TRUE
421,FALSE,FALSE,FALSE,TRUE,TRUE
422,FALSE,FALSE,FALSE,TRUE,FALSE
423,FALSE,TRUE,FALSE,FALSE,FALSE
424,FALSE,TRUE,FALSE,FALSE,FALSE
425,FALSE,FALSE,FALSE,TRUE,TRUE
426,FALSE,FALSE,TRUE,TRUE,FALSE
427,FALSE,FALSE,FALSE,TRUE,TRUE
428,FALSE,TRUE,FALSE,FALSE,TRUE
429,FALSE,TRUE,FALSE,TRUE,FALSE
430,FALSE,TRUE,TRUE,TRUE,FALSE
431,FALSE,TRUE,FALSE,TRUE,FALSE
432,FALSE,TRUE,TRUE,FALSE,FALSE
433,FALSE,TRUE,FALSE,FALSE,FALSE
434,FALSE,TRUE,FALSE,FALSE,FALSE
435,TRUE,FALSE,TRUE,TRUE,TRUE
436,FALSE,FALSE,FALSE,TRUE,TRUE
437,FALSE,FALSE,FALSE,FALSE,TRUE
438,FALSE,TRUE,FALSE,TRUE,TRUE
439,FALSE,TRUE,FALSE,TRUE,FALSE
440,FALSE,TRUE,FALSE,FALSE,FALSE
441,FALSE,FALSE,FALSE,TRUE,TRUE
442,FALSE,FALSE,FALSE,FALSE,TRUE
443,FALSE,TRUE,FALSE,FALSE,TRUE
444,FALSE,FALSE,FALSE,FALSE,TRUE
445,FALSE,TRUE,FALSE,FALSE,FALSE
446,FALSE,TRUE,FALSE,FALSE,FALSE
447,FALSE,FALSE,FALSE,FALSE,TRUE
448,FALSE,TRUE,FALSE,TRUE,FALSE
449,FALSE,FALSE,FALSE,TRUE,TRUE
450,FALSE,TRUE,FALSE,FALSE,FALSE
451,FALSE,TRUE,FALSE,TRUE,TRUE
452,FALSE,TRUE,FALSE,TRUE,FALSE
453,FALSE,TRUE,FALSE,FALSE,FALSE
454,FALSE,FALSE,FALSE,TRUE,FALSE
455,FALSE,FALSE,FALSE,TRUE,FALSE
456,FALSE,TRUE,FALSE,FALSE,FALSE
457,FALSE,TRUE,FALSE,FALSE,TRUE
458,TRUE,TRUE,TRUE,FALSE,FALSE
459,FALSE,FALSE,FALSE,FALSE,TRUE
460,TRUE,TRUE,FALSE,TRUE,TRUE
461,FALSE,FALSE,FALSE,TRUE,TRUE
462,FALSE,FALSE,FALSE,TRUE,FALSE
463,FALSE,TRUE,FALSE,TRUE,FALSE
464,FALSE,FALSE,FALSE,TRUE,TRUE
465,FALSE,FALSE,FALSE,FALSE,TRUE
466,FALSE,TRUE,FALSE,FALSE,FALSE
467,TRUE,TRUE,TRUE,FALSE,FALSE
468,FALSE,TRUE,FALSE,TRUE,FALSE
469,FALSE,TRUE,FALSE,FALSE,FALSE
470,FALSE,TRUE,FALSE,TRUE,TRUE
471,FALSE,TRUE,FALSE,TRUE,TRUE
472,FALSE,FALSE,FALSE,TRUE,TRUE
473,FALSE,TRUE,FALSE,TRUE,TRUE
474,TRUE,TRUE,FALSE,TRUE,TRUE
475,FALSE,TRUE,FALSE,TRUE,TRUE
476,FALSE,TRUE,FALSE,TRUE,FALSE
477,FALSE,FALSE,FALSE,TRUE,TRUE
478,TRUE,TRUE,TRUE,FALSE,FALSE
479,FALSE,FALSE,FALSE,TRUE,FALSE
480,FALSE,TRUE,FALSE,TRUE,FALSE
481,FALSE,TRUE,TRUE,FALSE,FALSE
482,FALSE,TRUE,FALSE,FALSE,FALSE
483,FALSE,FALSE,FALSE,TRUE,TRUE
484,FALSE,FALSE,FALSE,TRUE,TRUE
485,FALSE,TRUE,TRUE,TRUE,FALSE
486,FALSE,TRUE,FALSE,FALSE,FALSE
487,FALSE,TRUE,FALSE,FALSE,FALSE
488,FALSE,FALSE,FALSE,TRUE,TRUE
489,FALSE,FALSE,FALSE,TRUE,FALSE
490,FALSE,TRUE,FALSE,TRUE,FALSE
491,FALSE,FALSE,FALSE,FALSE,TRUE
492,FALSE,FALSE,FALSE,TRUE,TRUE
493,FALSE,FALSE,FALSE,TRUE,FALSE
494,FALSE,FALSE,TRUE,TRUE,FALSE
495,TRUE,FALSE,FALSE,FALSE,TRUE
496,FALSE,FALSE,FALSE,FALSE,TRUE
497,FALSE,FALSE,FALSE,FALSE,TRUE
498,FALSE,FALSE,FALSE,FALSE,TRUE
499,FALSE,TRUE,FALSE,FALSE,FALSE
500,FALSE,TRUE,FALSE,FALSE,FALSE
501,FALSE,TRUE,FALSE,TRUE,TRUE
502,FALSE,TRUE,FALSE,TRUE,TRUE
503,FALSE,FALSE,FALSE,TRUE,TRUE
504,FALSE,FALSE,FALSE,TRUE,FALSE
505,FALSE,FALSE,FALSE,TRUE,TRUE
506,FALSE,FALSE,FALSE,FALSE,TRUE
507,TRUE,TRUE,FALSE,FALSE,TRUE
508,FALSE,TRUE,FALSE,TRUE,FALSE
509,FALSE,TRUE,FALSE,TRUE,FALSE
510,FALSE,FALSE,FALSE,TRUE,FALSE
511,FALSE,FALSE,FALSE,TRUE,FALSE
512,FALSE,FALSE,FALSE,TRUE,TRUE
513,FALSE,TRUE,FALSE,TRUE,FALSE
514,FALSE,FALSE,TRUE,FALSE,TRUE
515,FALSE,TRUE,FALSE,FALSE,FALSE
